,1,2,3,4,5,6,7,8,9,10
Solver Status,ok,ok,ok,ok,ok,ok,ok,failed,ok,ok
Termination Condition,optimal,optimal,optimal,optimal,optimal,optimal,optimal,infeasible,optimal,optimal
"x[ccfo,ccfo_sp,fo_tk,4]",2800.0,2800.0,2800.0,3328.03349282295,2800.0,2800.0,2800.0,0,0.0,0.0
"x[ccfo,ccfo_sp,fo_tk,5]",0.0,0.0,0.0,3328.03349282296,3328.03349282296,0.0,0.0,0,0.0,0.0
"x[ccfo,ccfo_tk,ccfo_sp,1]",0.0,0.0,-1.55287611753974e-12,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[ccfo,ccfo_tk,ccfo_sp,2]",0.0,2491.00000000001,-7.76438058769869e-13,0.0,5.43506641138908e-12,2491.0,0.0,0,0.0,0.0
"x[ccfo,ccfo_tk,ccfo_sp,3]",8199.48895032685,-6.59972349954388e-12,-3.942276377094e-12,0.0,0.0,0.0,8199.4889503268,0,0.0,0.0
"x[ccfo,ccfo_tk,ccfo_sp,4]",0.0,0.0,1.60465057195983e-12,0.0,0.0,0.0,0.0,0,15673.0,13145.3413758126
"x[ccfo,ccfo_tk,ccfo_sp,5]",0.0,0.0,3.10575223507948e-12,0.0,0.0,0.0,-2.32931417630961e-12,0,0.0,0.0
"x[ccg,cc,ccg_sp,1]",20640.0,15683.4782608696,20640.0,20640.0,0.0,20640.0,20640.0,0,20640.0,20640.0
"x[ccg,cc,ccg_sp,2]",20640.0,0.0,20640.0,20640.0,20640.0,0.0,20640.0,0,20640.0,20640.0
"x[ccg,cc,ccg_sp,3]",0.0,0.0,20640.0,20640.0,20640.0,20640.0,0.0,0,20640.0,20640.0
"x[ccg,cc,ccg_sp,4]",20640.0,20640.0,20640.0,20640.0,20640.0,20640.0,20640.0,0,0.0,0.0
"x[ccg,cc,ccg_sp,5]",20640.0,20640.0,20640.0,20640.0,20640.0,20640.0,20640.0,0,20640.0,20640.0
